line,model,pwbno,pwb_name,process,prod_no,start_serial,lot_size
FA39,jkts-039,12350,tidak tahu,di proses,39,1,12000
FA40,jkts-040,12351,tidak tahu,di proses,40,1,12000
FA41,jkts-041,12352,tidak tahu,di proses,41,1,12000
FA42,jkts-042,12353,tidak tahu,di proses,42,1,12000
FA43,jkts-043,12354,tidak tahu,di proses,43,1,12000
FA44,jkts-044,12355,tidak tahu,di proses,44,1,12000
FA45,jkts-045,12356,tidak tahu,di proses,45,1,12000
FA46,jkts-046,12357,tidak tahu,di proses,46,1,12000
FA47,jkts-047,12358,tidak tahu,di proses,47,1,12000
FA48,jkts-048,12359,tidak tahu,di proses,48,1,12000
FA49,jkts-049,12360,tidak tahu,di proses,49,1,12000
FA50,jkts-050,12361,tidak tahu,di proses,50,1,12000
FA51,jkts-051,12362,tidak tahu,di proses,51,1,12000
FA52,jkts-052,12363,tidak tahu,di proses,52,1,12000
FA53,jkts-053,12364,tidak tahu,di proses,53,1,12000
FA54,jkts-054,12365,tidak tahu,di proses,54,1,12000
FA55,jkts-055,12366,tidak tahu,di proses,55,1,12000
FA56,jkts-056,12367,tidak tahu,di proses,56,1,12000
FA57,jkts-057,12368,tidak tahu,di proses,57,1,12000
FA58,jkts-058,12369,tidak tahu,di proses,58,1,12000
FA59,jkts-059,12370,tidak tahu,di proses,59,1,12000
FA60,jkts-060,12371,tidak tahu,di proses,60,1,12000
FA61,jkts-061,12372,tidak tahu,di proses,61,1,12000
FA62,jkts-062,12373,tidak tahu,di proses,62,1,12000
FA63,jkts-063,12374,tidak tahu,di proses,63,1,12000
FA64,jkts-064,12375,tidak tahu,di proses,64,1,12000
FA65,jkts-065,12376,tidak tahu,di proses,65,1,12000
FA66,jkts-066,12377,tidak tahu,di proses,66,1,12000
FA67,jkts-067,12378,tidak tahu,di proses,67,1,12000
FA68,jkts-068,12379,tidak tahu,di proses,68,1,12000
FA69,jkts-069,12380,tidak tahu,di proses,69,1,12000
FA70,jkts-070,12381,tidak tahu,di proses,70,1,12000
FA71,jkts-071,12382,tidak tahu,di proses,71,1,12000
FA72,jkts-072,12383,tidak tahu,di proses,72,1,12000
FA73,jkts-073,12384,tidak tahu,di proses,73,1,12000
FA74,jkts-074,12385,tidak tahu,di proses,74,1,12000
FA75,jkts-075,12386,tidak tahu,di proses,75,1,12000
FA76,jkts-076,12387,tidak tahu,di proses,76,1,12000
FA77,jkts-077,12388,tidak tahu,di proses,77,1,12000
FA78,jkts-078,12389,tidak tahu,di proses,78,1,12000
FA79,jkts-079,12390,tidak tahu,di proses,79,1,12000
FA80,jkts-080,12391,tidak tahu,di proses,80,1,12000
FA81,jkts-081,12392,tidak tahu,di proses,81,1,12000
FA82,jkts-082,12393,tidak tahu,di proses,82,1,12000
FA83,jkts-083,12394,tidak tahu,di proses,83,1,12000
FA84,jkts-084,12395,tidak tahu,di proses,84,1,1520
FA85,jkts-085,12396,tidak tahu,di proses,85,1,484
FA86,jkts-086,12397,tidak tahu,di proses,86,1,5
FA87,jkts-087,12398,tidak tahu,di proses,87,1,6
FA88,jkts-088,12399,tidak tahu,di proses,88,1,12000
FA89,jkts-089,12400,tidak tahu,di proses,89,1,585
FA90,jkts-090,12401,tidak tahu,di proses,90,1,12000
FA91,jkts-091,12402,tidak tahu,di proses,91,1,154
FA92,jkts-092,12403,tidak tahu,di proses,92,1,12000
FA93,jkts-093,12404,tidak tahu,di proses,93,1,1212
FA94,jkts-094,12405,tidak tahu,di proses,94,1,656
FA95,jkts-095,12406,tidak tahu,di proses,95,1,12000
FA96,jkts-096,12407,tidak tahu,di proses,96,1,63415
FA97,jkts-097,12408,tidak tahu,di proses,97,1,12000
FA98,jkts-098,12409,tidak tahu,di proses,98,1,21
FA99,jkts-099,12410,tidak tahu,di proses,99,1,12000
